id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_184817_ch000_7031,Witamy w BMW – radość z jazdy Już za 2500 PLN netto/mies. w BMW Comfort Leaseprzy 0% opłaty wstępnej.1 Skonfiguruj Dowiedz się więcej Znajdźtwoje BMW. Dostępne od ręki. Znajdź używane BMW. Umów jazdę ...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,487,cena
bmw_184817_ch001_7350,Zobacz gotowe do odbioru Wejdź do świata BMW M. Poznaj legendarne modele i sprawdź oferty specjalne. Sprawdź oferty Dowiedz się więcej Twoje BMW ma więcej niż 5 lat? Łączy Was niejedna wspólna histori...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,413,"cena, serwis"
bmw_184817_ch002_5245,Wymiana oleju z kontrolą pojazdu już za 599 PLN. Bezpłatny pakiet BMW Assistance na dwa lata. Dowiedz się więcej 1 Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 3 20 x Drive o wartości 237 15...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,467,"cena, silnik, finansowanie"
bmw_184817_ch003_7360,Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,418,cena
bmw_184817_ch004_9383,"Z o. o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub na bmw. pl.2 Prezentowana kalkulacja dotyczy leasingu pojazdu BMW i X 1 e Drive 20 o wartości 198 915,00 zł brutto w ram...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,491,"cena, silnik, finansowanie"
bmw_184817_ch005_7360,Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,421,cena
bmw_184817_ch006_5687,"Z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub nabmw. pl. BMW X 3 20 x Drive: Zużycie paliwa w cyklu mieszanym WLTP w l/100 km: 7,6–6,9; emisja CO₂, cykl mieszany WLTP w g/km:...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,4,True,True,499,"silnik, zasięg, suv"
bmw_561865_ch000_0798,"Odkryj i skonfiguruj wszystkie modele BMW. Poznaj nasze najnowsze modele, aby znaleźć inteligentną technologię, innowacyjne funkcje i typy silników, które są idealne dla Ciebie. Porównaj, skonfiguruj ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,483,"cena, silnik"
bmw_561865_ch001_7384,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,5,True,True,413,cena
bmw_561865_ch002_7384,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,480,"cena, finansowanie, suv"
