id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_943756_ch000_7306,BMW Konfigurator Warianty napędu Elektryczne Hybryda plug-in Oferty specjalne (12) Oferty specjalne (12) SUVX 7 Model Diesel Od 535 000 złIlustracje przedstawiają wizualizacje modeli wyposażonych w do...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,367,cena
bmw_943756_ch001_0841,Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 103%. ...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,348,"cena, finansowanie, suv"
bmw_943756_ch003_3277,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,398,cena
bmw_943756_ch004_7498,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,303,cena
bmw_943756_ch005_3438,"Od 535 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości...","X1, X3, X5",BMW Polska | Konfigurator,5,True,True,363,cena
bmw_943756_ch006_0944,Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 103%. Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,288,"cena, finansowanie, suv"
bmw_943756_ch007_4909,"Koszt leasingu odpowiada całkowitej sumie opłat 103% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu 24 miesiące oraz kwota wykupu 19%. Kalkulacja nie stanowi oferty w ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,265,"cena, silnik, finansowanie"
bmw_943756_ch008_3277,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,317,"cena, finansowanie"
bmw_943756_ch009_6622,Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial Services Polska sp. z o. o. z siedzibą w Warszawie i jest kierowana do przedsię...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,376,"cena, silnik, finansowanie"
bmw_943756_ch011_7565,Skonfiguruj Informacje o pojeździe Dostępne pojazdy SUVX 5 Modele Diesel Od 410 000 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stano...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,382,cena
bmw_943756_ch012_3621,Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 100%Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,352,"cena, finansowanie, suv"
bmw_943756_ch013_3075,"Koszt leasingu odpowiada całkowitej sumie opłat 100% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu 24 miesiące oraz kwota wykupu 19%. Kalkulacja nie stanowi oferty w ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,265,"cena, silnik, finansowanie"
bmw_943756_ch014_3277,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,398,cena
bmw_943756_ch016_3063,"Od 410 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości...","X1, X3, X5",BMW Polska | Konfigurator,5,True,True,363,cena
bmw_943756_ch017_2266,Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 100%Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d w ramach usługi BMW Leasing 100% oferowanej przez BM...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,299,"cena, finansowanie, suv"
bmw_943756_ch019_3277,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,288,cena
bmw_943756_ch020_5536,Dostępne w BMW Leasing 100% Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d w ramach usługi BMW Leasing 100% oferowanej przez BMW Financial Services Polska sp. z o. o. z siedzibą...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,249,"finansowanie, suv"
bmw_943756_ch023_3094,Skonfiguruj Informacje o pojeździe Dostępne pojazdy SUVX 3 Modele Benzyna Od 263 500 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stan...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,383,cena
