id,text_preview,source_url,title,models,is_model_page,chunk_size,token_estimate
bmw_189032_chunk_000,"BMW Premium Selection. Samochody używane z certyfikatem. Znajdź BMW dla siebie Odkryj BMW Premium Selection. Odkryj radość z jazdy dzięki samochodom używanym BMW Premium Selection. Zanim używane BMW uzyska certyfikat BMW Premium Selection, musi przejść szereg kontroli zapewniających 100% najwyższej ...",https://www.bmw.pl/pl/topics/offers-and-services/used-automobiles/bmw-premium-selection.html,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,,False,797,199
bmw_189032_chunk_001,"te pojazdy, które spełniają wszystkie precyzyjnie określone standardy produktu. Samochody BMW Premium Selection są dostępne wyłącznie u partnerów BMW Premium Selection, dzięki czemu zawsze możemy zagwarantować Ci najwyższą jakość. Zobacz na własne oczy! Korzyści na przyszłość. 24-miesięczna ochrona ...",https://www.bmw.pl/pl/topics/offers-and-services/used-automobiles/bmw-premium-selection.html,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,,False,798,199
bmw_189032_chunk_002,"samochody, które przejdą kompleksową kontrolę 360°. Dzięki specjalistycznej wiedzy BMW i najnowocześniejszemu sprzętowi diagnostycznemu nasi eksperci BMW kompleksowo sprawdzają samochody BMW Premium Selection. Po standardowej kontroli Twoje BMW Premium Selection trafi do Ciebie w nienagannym stanie....",https://www.bmw.pl/pl/topics/offers-and-services/used-automobiles/bmw-premium-selection.html,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,,False,787,196
bmw_189032_chunk_003,"jako Klient indywidualny jak i flotowy. Dzięki ubezpieczeniu BMW możemy być jedynym dostawcą rozwiązań w zakresie wszystkich tematów związanych z samochodami. Oferujemy korzystne usługi dodatkowe, ochronę samochodu i ubezpieczenie pasażerów, a także wyjątkowo łatwą obsługę w przypadku szkody. Chętni...",https://www.bmw.pl/pl/topics/offers-and-services/used-automobiles/bmw-premium-selection.html,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,,False,794,198
bmw_189032_chunk_004,BMW Premium Selection. Wsiądź do własnego BMW. Wybierz już teraz swój pojazd. Korzystaj z naszych wyjątkowych zalet. Wystarczy skontaktować się bezpośrednio ze swoim Dealerem BMW Premium Selection lub zapoznać się z naszą regularnie aktualizowaną bazą pojadów. Znajdź samochód odpowiadający Twoim kon...,https://www.bmw.pl/pl/topics/offers-and-services/used-automobiles/bmw-premium-selection.html,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,,False,497,124
bmw_654199_chunk_000,"Ubezpieczenie BMW. Ubezpieczenie tak niezawodne, jak twoje BMW. BMW Ubezpieczenia BMW Ubezpieczenia BMW Ubezpieczenia Ubezpieczenie kosztów napraw Ubezpieczenia. BMW Financial Services. Uważamy, że zaufanie jest jedną z najważniejszych wartości w BMW Financial Services. Dlatego zachęcamy Cię do skor...",https://www.bmw.pl/pl/topics/offers-and-services/bmw-financial-services/bmw-ubezpieczenia.html,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,,False,790,197
bmw_654199_chunk_001,"że w razie potrzeby pojazd zostanie naprawiony w autoryzowanym serwisie, wyłącznie z użyciem oryginalnych części zamiennych BMW i zgodnie z technologią producenta. Zapewniamy przejrzyste warunki ubezpieczenia oraz sprawną, bezgotówkową likwidację szkody. Korzyści dla ciebie: Utrzymanie wartości fakt...",https://www.bmw.pl/pl/topics/offers-and-services/bmw-financial-services/bmw-ubezpieczenia.html,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,,False,795,198
bmw_654199_chunk_002,"zakres Assistance. BMW GAP to ubezpieczenie, które zapewni Ci pokrycie straty finansowej powstałej wskutek szkody całkowitej lub kradzieży pojazdu poprzez dopłatę do odszkodowania z umowy Auto-Casco, różnicy pomiędzy wartością początkową pojazdu, a wysokością otrzymanego odszkodowania. Korzyści dla ...",https://www.bmw.pl/pl/topics/offers-and-services/bmw-financial-services/bmw-ubezpieczenia.html,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,,False,793,198
bmw_654199_chunk_003,"samochodu otrzymasz zwrot kosztów do 10 000 PLN na wynajęcie pojazdu zastępczego, przejazdy pociągami, taksówkami i przeloty samolotem. Możesz z nich korzystać przez 3 miesiące od daty szkody. Ubezpieczenie kosztów napraw. Ubezpieczenie Kosztów Napraw BMW to oferta która zapewnia ochronę w razie wys...",https://www.bmw.pl/pl/topics/offers-and-services/bmw-financial-services/bmw-ubezpieczenia.html,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,,False,796,199
bmw_654199_chunk_004,"Europy. Więcej usług BMW dla Ciebie. BMW Leasing. W BMW Financial Services zawsze staramy się zrozumieć potrzeby naszych klientów i zapewnić im najlepszą jakość obsługi. Przygotowaliśmy ofertę, która zadowoli wszystkich, którzy szukają bezkonkurencyjnej wygody i komfortu. Odkryj teraz BMW Comfort Le...",https://www.bmw.pl/pl/topics/offers-and-services/bmw-financial-services/bmw-ubezpieczenia.html,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,,False,798,199
